Name, Move
Bulbasaur, Substitute
Bulbasaur, Trailblaze
Bulbasaur, Energy Ball
Bulbasaur, Double-Edge
Bulbasaur, Growl
Bulbasaur, Bullet Seed
Bulbasaur, Sweet Scent
Bulbasaur, Synthesis
Bulbasaur, Sleep Powder
Bulbasaur, Swords Dance
Bulbasaur, Sludge Bomb
Bulbasaur, Leaf Storm
Bulbasaur, Take Down
Bulbasaur, Tera Blast
Bulbasaur, Grassy Glide
Bulbasaur, Weather Ball
Bulbasaur, Venoshock
Bulbasaur, Ingrain
Bulbasaur, Petal Dance
Bulbasaur, Grass Pledge
Bulbasaur, Power Whip
Bulbasaur, Helping Hand
Bulbasaur, Solar Beam
Bulbasaur, False Swipe
Bulbasaur, Rest
Bulbasaur, Giga Drain
Bulbasaur, Knock Off
Bulbasaur, Seed Bomb
Bulbasaur, Protect
Bulbasaur, Leech Seed
Bulbasaur, Toxic
Bulbasaur, Acid Spray
Bulbasaur, Tackle
Bulbasaur, Razor Leaf
Bulbasaur, Endure
Bulbasaur, Facade
Bulbasaur, Sleep Talk
Bulbasaur, Vine Whip
Bulbasaur, Poison Powder
Bulbasaur, Sunny Day
Bulbasaur, Grass Knot
Bulbasaur, Curse
Bulbasaur, Grassy Terrain
Bulbasaur, Growth
Bulbasaur, Magical Leaf
Bulbasaur, Body Slam
Bulbasaur, Worry Seed
Bulbasaur, Charm
Ivysaur, Substitute
Ivysaur, Trailblaze
Ivysaur, Energy Ball
Ivysaur, Double-Edge
Ivysaur, Growl
Ivysaur, Bullet Seed
Ivysaur, Sweet Scent
Ivysaur, Synthesis
Ivysaur, Sleep Powder
Ivysaur, Swords Dance
Ivysaur, Sludge Bomb
Ivysaur, Leaf Storm
Ivysaur, Take Down
Ivysaur, Tera Blast
Ivysaur, Grassy Glide
Ivysaur, Weather Ball
Ivysaur, Venoshock
Ivysaur, Ingrain
Ivysaur, Petal Dance
Ivysaur, Grass Pledge
Ivysaur, Power Whip
Ivysaur, Helping Hand
Ivysaur, Solar Beam
Ivysaur, False Swipe
Ivysaur, Rest
Ivysaur, Giga Drain
Ivysaur, Knock Off
Ivysaur, Seed Bomb
Ivysaur, Protect
Ivysaur, Leech Seed
Ivysaur, Toxic
Ivysaur, Acid Spray
Ivysaur, Tackle
Ivysaur, Razor Leaf
Ivysaur, Endure
Ivysaur, Facade
Ivysaur, Sleep Talk
Ivysaur, Vine Whip
Ivysaur, Poison Powder
Ivysaur, Sunny Day
Ivysaur, Roar
Ivysaur, Grass Knot
Ivysaur, Curse
Ivysaur, Grassy Terrain
Ivysaur, Growth
Ivysaur, Magical Leaf
Ivysaur, Body Slam
Ivysaur, Worry Seed
Ivysaur, Charm
Venusaur, Substitute
Venusaur, Petal Blizzard
Venusaur, Trailblaze
Venusaur, Energy Ball
Venusaur, Double-Edge
