name_en, category, name_jp, name_jp_phonetic, dex_num, photo_link, type_1, type_2, ability_1, ability_2, ability_3, hp, attack, defense, special attack, special defense, speed, 
Bulbasaur, Seed Pokémon, フシギダネ, Fushigidane, #0001, https://archives.bulbagarden.net/wiki/Category:Bulbasaur, Grass, Poison, Overgrow, None, Chlorophyll, 45, 49, 49, 65, 65, 45, 
Ivysaur, Seed Pokémon, フシギソウ, Fushigisou, #0002, https://archives.bulbagarden.net/wiki/Category:Ivysaur, Grass, Poison, Overgrow, None, Chlorophyll, 60, 62, 63, 80, 80, 60, 
Venusaur, Seed Pokémon, フシギバナ, Fushigibana, #0003, https://archives.bulbagarden.net/wiki/Category:Venusaur, Grass, Poison, Overgrow, None, Chlorophyll, 80, 82, 83, 100, 100, 80, 
Charmander, Lizard Pokémon, ヒトカゲ, Hitokage, #0004, https://archives.bulbagarden.net/wiki/Category:Charmander, Fire, None, Blaze, None, Solar Power, 39, 52, 43, 60, 50, 65, 
Charmeleon, Flame Pokémon, リザード, Lizardo, #0005, https://archives.bulbagarden.net/wiki/Category:Charmeleon, Fire, None, Blaze, None, Solar Power, 58, 64, 58, 80, 65, 80, 
Charizard, Flame Pokémon, リザードン, Lizardon, #0006, https://archives.bulbagarden.net/wiki/Category:Charizard, Fire, Flying, Blaze, None, Solar Power, 78, 84, 78, 109, 85, 100, 
Squirtle,  Pokémon, ゼニガメ, Zenigame, #0007, https://archives.bulbagarden.net/wiki/Category:Squirtle, Water, None, Torrent, None, Rain Dish, 44, 48, 65, 50, 64, 43, 
Wartortle, Turtle Pokémon, カメール, Kameil, #0008, https://archives.bulbagarden.net/wiki/Category:Wartortle, Water, None, Torrent, None, Rain Dish, 59, 63, 80, 65, 80, 58, 
Blastoise, Shellfish Pokémon, カメックス, Kamex, #0009, https://archives.bulbagarden.net/wiki/Category:Blastoise, Water, None, Torrent, None, Rain Dish, 79, 83, 100, 85, 105, 78, 
Caterpie, Worm Pokémon, キャタピー, Caterpie, #0010, https://archives.bulbagarden.net/wiki/Category:Caterpie, Bug, None, Shield Dust, None, Run Away, 45, 30, 35, 20, 20, 45, 
Metapod, Cocoon Pokémon, トランセル, Transel, #0011, https://archives.bulbagarden.net/wiki/Category:Metapod, Bug, None, Shed Skin, None, None, 50, 20, 55, 25, 25, 30, 
Butterfree, Butterfly Pokémon, バタフリー, Butterfree, #0012, https://archives.bulbagarden.net/wiki/Category:Butterfree, Bug, Flying, Compound Eyes, None, Tinted Lens, 60, 45, 50, 90, 80, 70, 
Weedle, Hairy Bug Pokémon, ビードル, Beedle, #0013, https://archives.bulbagarden.net/wiki/Category:Weedle, Bug, Poison, Shield Dust, None, Run Away, 40, 35, 30, 20, 20, 50, 
Kakuna, Cocoon Pokémon, コクーン, Cocoon, #0014, https://archives.bulbagarden.net/wiki/Category:Kakuna, Bug, Poison, Shed Skin, None, None, 45, 25, 50, 25, 25, 35, 
Beedrill, Poison Bee Pokémon, スピアー, Spear, #0015, https://archives.bulbagarden.net/wiki/Category:Beedrill, Bug, Poison, Swarm, None, Sniper, 65, 90, 40, 45, 80, 75, 
Pidgey, Tiny Bird Pokémon, ポッポ, Poppo, #0016, https://archives.bulbagarden.net/wiki/Category:Pidgey, Normal, Flying, Keen Eye, Tangled Feet, Big Pecks, 40, 45, 40, 35, 35, 56, 
Pidgeotto, Bird Pokémon, ピジョン, Pigeon, #0017, https://archives.bulbagarden.net/wiki/Category:Pidgeotto, Normal, Flying, Keen Eye, Tangled Feet, Big Pecks, 63, 60, 55, 50, 50, 71, 
Pidgeot, Bird Pokémon, ピジョット, Pigeot, #0018, https://archives.bulbagarden.net/wiki/Category:Pidgeot, Normal, Flying, Keen Eye, Tangled Feet, Big Pecks, 83, 80, 75, 70, 70, 101, 
Rattata,  Pokémon, コラッタ, Koratta, #0019, https://archives.bulbagarden.net/wiki/Category:Rattata, Normal, None, Run Away, Guts, Hustle, 30, 56, 35, 25, 35, 72, 
Raticate,  Pokémon, ラッタ, Ratta, #0020, https://archives.bulbagarden.net/wiki/Category:Raticate, Normal, None, Run Away, Guts, Hustle, 55, 81, 60, 50, 70, 97, 
Spearow, Tiny Bird Pokémon, オニスズメ, Onisuzume, #0021, https://archives.bulbagarden.net/wiki/Category:Spearow, Normal, Flying, Keen Eye, None, Sniper, 40, 60, 30, 31, 31, 70, 
Fearow, Beak Pokémon, オニドリル, Onidrill, #0022, https://archives.bulbagarden.net/wiki/Category:Fearow, Normal, Flying, Keen Eye, None, Sniper, 65, 90, 65, 61, 61, 100, 
Ekans, Snake Pokémon, アーボ, Arbo, #0023, https://archives.bulbagarden.net/wiki/Category:Ekans, Poison, None, Intimidate, Shed Skin, Unnerve, 35, 60, 44, 40, 54, 55, 
Arbok, Cobra Pokémon, アーボック, Arbok, #0024, https://archives.bulbagarden.net/wiki/Category:Arbok, Poison, None, Intimidate, Shed Skin, Unnerve, 60, 95, 69, 65, 79, 80, 
Pikachu, Mouse Pokémon, ピカチュウ, Pikachu, #0025, https://archives.bulbagarden.net/wiki/Category:Pikachu, Electric, None, Static, None, Lightning Rod, 35, 55, 40, 50, 50, 90, 
Raichu, Mouse Pokémon, ライチュウ, Raichu, #0026, https://archives.bulbagarden.net/wiki/Category:Raichu, Electric, None, Static, None, Lightning Rod, 60, 90, 55, 90, 80, 110, 
Sandshrew, Mouse Pokémon, サンド, Sand, #0027, https://archives.bulbagarden.net/wiki/Category:Sandshrew, Ground, None, Sand Veil, None, Sand Rush, 50, 75, 85, 20, 30, 40, 
Sandslash, Mouse Pokémon, サンドパン, Sandpan, #0028, https://archives.bulbagarden.net/wiki/Category:Sandslash, Ground, None, Sand Veil, None, Sand Rush, 75, 100, 110, 45, 55, 65, 
Nidoran♀, Poison Pin Pokémon, ニドラン♀, Nidoran♀, #0029, https://archives.bulbagarden.net/wiki/Category:Nidoran%E2%99%80, Poison, None, Poison Point, Rivalry, Hustle, 55, 47, 52, 40, 40, 41, 
Nidorina, Poison Pin Pokémon, ニドリーナ, Nidorina, #0030, https://archives.bulbagarden.net/wiki/Category:Nidorina, Poison, None, Poison Point, Rivalry, Hustle, 70, 62, 67, 55, 55, 56, 
Nidoqueen, Drill Pokémon, ニドクイン, Nidoqueen, #0031, https://archives.bulbagarden.net/wiki/Category:Nidoqueen, Poison, Ground, Poison Point, Rivalry, Sheer Force, 90, 92, 87, 75, 85, 76, 
Nidoran♂, Poison Pin Pokémon, ニドラン♂, Nidoran♂, #0032, https://archives.bulbagarden.net/wiki/Category:Nidoran%E2%99%82, Poison, None, Poison Point, Rivalry, Hustle, 46, 57, 40, 40, 40, 50, 
Nidorino, Poison Pin Pokémon, ニドリーノ, Nidorino, #0033, https://archives.bulbagarden.net/wiki/Category:Nidorino, Poison, None, Poison Point, Rivalry, Hustle, 61, 72, 57, 55, 55, 65, 
Nidoking, Drill Pokémon, ニドキング, Nidoking, #0034, https://archives.bulbagarden.net/wiki/Category:Nidoking, Poison, Ground, Poison Point, Rivalry, Sheer Force, 81, 102, 77, 85, 75, 85, 
Clefairy, Fairy Pokémon, ピッピ, Pippi, #0035, https://archives.bulbagarden.net/wiki/Category:Clefairy, Fairy, None, Cute Charm, Magic Guard, Friend Guard, 70, 45, 48, 60, 65, 35, 
Clefable, Fairy Pokémon, ピクシー, Pixy, #0036, https://archives.bulbagarden.net/wiki/Category:Clefable, Fairy, None, Cute Charm, Magic Guard, Unaware, 95, 70, 73, 95, 90, 60, 
Vulpix, Fox Pokémon, ロコン, Rokon, #0037, https://archives.bulbagarden.net/wiki/Category:Vulpix, Fire, None, Flash Fire, None, Drought, 38, 41, 40, 50, 65, 65, 
Ninetales, Fox Pokémon, キュウコン, Kyukon, #0038, https://archives.bulbagarden.net/wiki/Category:Ninetales, Fire, None, Flash Fire, None, Drought, 73, 76, 75, 81, 100, 100, 
Jigglypuff, Balloon Pokémon, プリン, Purin, #0039, https://archives.bulbagarden.net/wiki/Category:Jigglypuff, Normal, Fairy, Cute Charm, Competitive, Friend Guard, 115, 45, 20, 45, 25, 20, 
Wigglytuff, Balloon Pokémon, プクリン, Pukurin, #0040, https://archives.bulbagarden.net/wiki/Category:Wigglytuff, Normal, Fairy, Cute Charm, Competitive, Frisk, 140, 70, 45, 85, 50, 45, 
Zubat, Bat Pokémon, ズバット, Zubat, #0041, https://archives.bulbagarden.net/wiki/Category:Zubat, Poison, Flying, Inner Focus, None, Infiltrator, 40, 45, 35, 30, 40, 55, 
Golbat, Bat Pokémon, ゴルバット, Golbat, #0042, https://archives.bulbagarden.net/wiki/Category:Golbat, Poison, Flying, Inner Focus, None, Infiltrator, 75, 80, 70, 65, 75, 90, 
Oddish, Weed Pokémon, ナゾノクサ, Nazonokusa, #0043, https://archives.bulbagarden.net/wiki/Category:Oddish, Grass, Poison, Chlorophyll, None, Run Away, 45, 50, 55, 75, 65, 30, 
Gloom, Weed Pokémon, クサイハナ, Kusaihana, #0044, https://archives.bulbagarden.net/wiki/Category:Gloom, Grass, Poison, Chlorophyll, None, Stench, 60, 65, 70, 85, 75, 40, 
Vileplume, Flower Pokémon, ラフレシア, Ruffresia, #0045, https://archives.bulbagarden.net/wiki/Category:Vileplume, Grass, Poison, Chlorophyll, None, Effect Spore, 75, 80, 85, 110, 90, 50, 
Paras, Mushroom Pokémon, パラス, Paras, #0046, https://archives.bulbagarden.net/wiki/Category:Paras, Bug, Grass, Effect Spore, Dry Skin, Damp, 35, 70, 55, 45, 55, 25, 
